Salutation,Phone,HomePhone,FirstName,LastName,AccountName,Mobile,Title,OtherPhone,Department,Fax,Email,ReportsTo,Assistant,LeadSource,Asst. Phone,whatsapp,WebsiteLink,MailingStreet,MailingCity,MailingState,Languages,MailingCountry,Speciality
Ms,540-459-1120,5404591121,Diane,Hasselblad,"Shenandoah Memorial Hospital, Inc.",509-482-0111,Business Ofc. Supervisor,,Other Prov: Case Manager/Care Coordinator,,Hasselblad@hlsfrontlinedemo.com,,,Purchase List,,540-459-1120,www.owlhealth.com/Hasselblad,759 S Main St,Woodstock,VA,ENGLISH,USA,General Practice
Mrs,301-754-7246,3017547288,Lisa,Ann Haslett,Holy Cross Hospital,814-534-9503,Nurse Practitioner,,Hospital: General Acute Care Hospital,,AnnHaslett@hlsfrontlinedemo.com,,,Purchase List,,301-933-1183,www.owlhealth.com/AnnHaslett,1500 Forest Glen Rd,Silver Spring,MD,ENGLISH,USA,Nurse Practitioner
Ms,703-689-9000,7036899179,Shirley,Hsing,Reston Hospital Center LLC,985-230-6939,Sr. V.P. / C.F.O.,,Hospital: General Acute Care Hospital,,Hsing@hlsfrontlinedemo.com,,,Purchase List,,703-689-9000,www.owlhealth.com/Hsing,1850 Town Center Pkwy,Reston,VA,ENGLISH,USA,Internal Medicine
Dr,202-865-6620,2028654607,Vern,Carda,Howard University Hospital,605-696-9000,Physician/Owner,,Hospital: General Acute Care Hospital,,Carda@hlsfrontlinedemo.com,,,Purchase List,,202-865-6620,www.owlhealth.com/Carda,2041 Georgia Ave NW,Washington,DC,ENGLISH,USA,General Practice
Dr,540-981-7000,,Stephen,Deveau,Carilion Medical Center,617-677-4042,Physician/Owner,,Hospital: Chronic Disease: Children,,Deveau@hlsfrontlinedemo.com,,,Purchase List,,540-981-7000,www.owlhealth.com/Deveau,1906 Belleview Ave SE,Roanoke,VA,ENGLISH,USA,Family Practice
Dr.,443-481-1000,,Jordan,Smith,Anne Arundel Medical Center,,Physician,,,,Smith@hlsfrontlinedemo.com,,,Purchase List,,,www.owlhealth.com/Deveau,2001 Medical Pkwy,Annapolis,MD,ENGLISH,USA,Internal Medicine
Dr.,301-295-2552,3012952662,Milly,Shah,Walter Reed National Military Medical Center,,Physician,,Hospital: General Acute Care Hospital,,Shah@hlsfrontlinedemo.com,,,Purchase List,,301-816-3228,www.owlhealth.com/Deveau,8901 Wisconsin Ave,Bethesda,MD,ENGLISH,USA,General Practice
Dr.,032-436-7207,7032437503,Sam,Porter,Mid- Atlantic Medical Group LLC,,Physician,,Hospital: General Acute Care Hospital,,Porter@hlsfrontlinedemo.com,,,Purchase List,,103-243-6720,www.owlhealth.com/Deveau,3301 Wilson Blvd,Arlington,VA,ENGLISH,USA,Family Practice
Dr.,410-296-4616,4103375068,Stephen,Deveau,"Greater Baltimore Medical Center, Inc.",,Physician,,Hospital: General Acute Care Hospital,,Deveau@hlsfrontlinedemo.com,,,Purchase List,,410-296-4616,www.owlhealth.com/Deveau,6701 N Charles St,Towson,MD,ENGLISH,USA,Internal Medicine
Dr.,434-947-3944,4345442337,Vern,Carda,"Medical Associates of Central Virginia, Inc.",,Physician,,Hospital: General Acute Care Hospital,,Carda@hlsfrontlinedemo.com,,,Purchase List,,516-514-2631,www.owlhealth.com/Deveau,2215 Landover Pl,Lynchburg,VA,ENGLISH,USA,General Practice
Mr.,540-536-8000,5405367681,Jim,Bouton,"Winchester Medical Center, Inc.",,Nurse Practitioner,,Hospital: General Acute Care Hospital,,Bouton@hlsfrontlinedemo.com,,,Purchase List,,540-536-8000,www.owlhealth.com/Deveau,1840 Amherst St,Winchester,VA,ENGLISH,USA,Nurse Practitioner
